lembaga,kelompok_koordinator,npsn,nama_pt,nm_bp,provinsi_pt,jln,kec_pt,Kabupaten/Kota,website,no_tel,email
LLDIKTI Wilayah VI,PTS,064010  ,Akademi Kesejahteraan Sosial Ibu Kartini,Akademi,Prop. Jawa Tengah             ,Jalan Sultan Agung No 77 Candibaru Semarang,,Kota Semarang                 ,www.aksibukartini.ac.id,0248315304,aksibukartini_smg@yahoo.com
LLDIKTI Wilayah VI,PTS,064057  ,Akademi Seni Dan Desain Indonesia Surakarta,Akademi,Prop. Jawa Tengah             ,Jalan Slamet Riyadi No 158 ,,Kota Surakarta                ,www.asdi.ac.id,0271-7652998,info@asdi.ac.id
LLDIKTI Wilayah VI,PTS,064088  ,Akademi Perekam Medik & Info Kes Citra Medika,Akademi,Prop. Jawa Tengah             ,"Jl. KH Samanhudi No 93 Laweyan, Surakarta",,Kota Surakarta                ,www.apikescm.ac.id,0271-719552,apikescitramedika@yahoo.com
LLDIKTI Wilayah VI,PTS,064080  ,Akademi Bahasa Asing RA Kartini Surakarta,Akademi,Prop. Jawa Tengah             ,Jl Perintis Kemerdekaan No 7 ,,Kota Surakarta                , aba_rakartinisolo@yahoo.com,0271-716720,
LLDIKTI Wilayah VI,PTS,064134  ,Akademi Kebidanan Bhakti Nusantara Salatiga,Akademi,Prop. Jawa Tengah             ,"jl.Argosari No.25 Randuacir,Argomulyo, Salatiga",,Kota Salatiga                 ,www.akbidbhaktinusantara.com,0298 314241,akbid_bn@ymail.com
LLDIKTI Wilayah VI,PTS,064013  ,Akademi Bahasa Asing St Pignatelli,Akademi,Prop. Jawa Tengah             ,Karangasem Laweyan Po Box 227 ,,Kota Surakarta                , ,0271-715333,lppm.abapignatelli@gmail.com
LLDIKTI Wilayah VI,PTS,064111  ,Akademi Keperawatan Insan Husada Surakarta,Akademi,Prop. Jawa Tengah             ,"Jalan Letjen Sutoyo, Gang Jodipati No 10 Mojosongo,",,Kota Surakarta                ,www.akperinsada.ac.id,0271852073,akper.insada@gmail.com
LLDIKTI Wilayah VI,PTS,064139  ,Akademi Keperawatan Patria Husada Surakarta,Akademi,Prop. Jawa Tengah             ,Jl. SUmpah Pemuda 50 Mojosongo Surakarta ,,Kota Surakarta                ,www.akperpatriahusada-surakarta.ac.id,0271853224,husada.patria@yahoo.com
LLDIKTI Wilayah VI,PTS,064150  ,Akademi Enterpreneurship Terang Bangsa,Akademi,Prop. Jawa Tengah             ," Jl. Arteri Utara, Kompleks Grand Marina, Semarang - Jawa Tengah",,Kota Semarang                 ,www.entrepreneurship-terangbangsa.ac.id,024-76631812,info@entrepreneurship-terangbangsa.ac.id
LLDIKTI Wilayah VI,PTS,064122  ,Akademi Kebidanan Panti Wilasa,Akademi,Prop. Jawa Tengah             ,Jl. Ciliwung IX No.1 ,,Kota Semarang                 ,.www.akbidpantiwilasa.ac.id,024-3561513,info@akbidpantiwilasa.ac.id
LLDIKTI Wilayah VI,PTS,064132  ,Akademi Kebidanan Ar-Rum Salatiga,Akademi,Prop. Jawa Tengah             ,Jalan Soekarno Hatta No 10 ,,Kota Salatiga                 , arrum.ac.id,(0298) 329353/329354,akbid_arrum@yahoo.com
LLDIKTI Wilayah VI,PTS,064076  ,Akademi Teknologi AUB,Akademi,Prop. Jawa Tengah             ,"JL. Walanda Maramis No.29 Cengklik,Nusukan Surakarta ",,Kota Surakarta                ,www.at-aub-ac.id,0271854033,ataubsolo@yahoo.com
LLDIKTI Wilayah VI,PTS,064157  ,Akademi Keperawatan Widya Husada,Akademi,Prop. Jawa Tengah             , ,,Kota Semarang                 ,http://akper-wh.ac.id, (024) 7612988,akperwidyahusada@yahoo.com
LLDIKTI Wilayah VI,PTS,064039  ,Akademi Teknik Perkapalan Veteran,Akademi,Prop. Jawa Tengah             ,Jalan Pawiyatan Luhur IV No.18. Bendan Dhuwur,,Kota Semarang                 ,www.atp-veteran.ac.id,(024)-6710196,atp_vet@yahoo.co.id
LLDIKTI Wilayah VI,PTS,064025  ,Akademi Statistika Muhammadiyah Semarang,Akademi,Prop. Jawa Tengah             ,Jalan Prof Dr Hamka Km 1 Ngalian,,Kota Semarang                 ,http://www.aismuh.ac.id,(024) 7608786,akademi.statistika@aismuh.ac.id
LLDIKTI Wilayah VI,PTS,064055  ,Akademi Akuntansi Effendi Harahap,Akademi,Prop. Jawa Tengah             ,JL. KH Ahmad Dahlan No. 23 Semarang,,Kota Semarang                 ,www.aaesemarang.ac.id,(024) 8411892,aae_semarang@yahoo.co.id
LLDIKTI Wilayah VI,PTS,064014  ,Akademi Kimia Industri Santo Paulus Semarang,Akademi,Prop. Jawa Tengah             ,Jalan Kusumanegara (Sriwijaya) No 104 Semarang ,,Kota Semarang                 ,akin.ac.id,024-8442979,akinstp@yahoo.com
LLDIKTI Wilayah VI,PTS,064164  ,Akademi Teknik PIKA,Akademi,Prop. Jawa Tengah             ,,,Kota Semarang                 ,www.pika-semarang.com/akademi,024 3544515,akademipika@pika-semarang.com
LLDIKTI Wilayah VI,PTS,064059  ,Akademi Sekretari Dan Manajemen Santa Anna,Akademi,Prop. Jawa Tengah             ,Jalan Arteri Soekarno - Hatta No. 10A-B Telp. (024) 76584404 Fax. (024) 76584402,,Kota Semarang                 ,asmistansa.ac.id,(024) 76583626,asmi.stansa@gmail.com
LLDIKTI Wilayah VI,PTS,064159  ,Akademi Analis Kesehatan Theresiana,Akademi,Prop. Jawa Tengah             ,Jl.Mayjen Sutoyo 69 Semarang,,Kota Semarang                 ,www. aak.theresiana.ac.id,024-8313054,aaktheresiana@yahoo.com
LLDIKTI Wilayah VI,PTS,064053  ,Akademi Manajemen Indonesia Semarang,Akademi,Prop. Jawa Tengah             ,Jalan Taman Kelud Utara III G 40-41,,Kota Semarang                 ,www.amindo.web.id,( 024 ) 70127772,kampusamindo@gmail.com
LLDIKTI Wilayah VI,PTS,064154  ,Akademi Kesehatan Asih Husada,Akademi,Prop. Jawa Tengah             , Jl.Mukharom 01 Tegalkangkung Kedungmundu Semarang,,Kota Semarang                 ,www.asih-husada.ac.id,0246723907,lppm@asih-husada.ac.id
LLDIKTI Wilayah VI,PTS,064151  ,Akademi Keperawatan Kesdam IV/Diponegoro,Akademi,Prop. Jawa Tengah             , JLN. HOS Cokroaminoto No. 4 Semarang,,Kota Semarang                 ,www.akperkesdam4.ac.id,024-3550658,akperkesdam4dip.smg@gmail.com
LLDIKTI Wilayah VI,PTS,066001  ,Akademi Komunitas Balekambang,Akademi Komunitas,Prop. Jawa Tengah             , ,,Kab. Jepara                   ,,,
LLDIKTI Wilayah VI,PTS,066002  ,Akademi Komunitas Semen Indonesia Rembang,Akademi Komunitas,Prop. Jawa Tengah             ,,,Kab. Rembang                  ,aksirembang.ac.id,0295 6980441,aksirembang.semenindonesia@gmail.com
LLDIKTI Wilayah VI,PTS,062003  ,Institut Teknologi Telkom Purwokerto,Institut,Prop. Jawa Tengah             ,Jl. D.I. Panjaitan No. 128,Kec. Purwokerto Selatan       ,Kab. Banyumas                 ,ittelkom-pwt.ac.id,(0281)641629,info@ittelkom-pwt.ac.id
LLDIKTI Wilayah VI,PTS,062002  ,IKIP PGRI Semarang,Institut,Prop. Jawa Tengah             ,Jalan Lontar No 1 Semarang,,Kota Semarang                 ,www.ikippgrismg.ac.id,024-8316377,ikippgri@ikippgri.ac.id
LLDIKTI Wilayah VI,PTS,062001  ,IKIP Veteran Jawa Tengah,Institut,Prop. Jawa Tengah             ,Jalan Pawiyatan Luhur IV / 17  BENDAN DUWUR SEMARANG,,Kota Semarang                 ,http://ikip-veteran.ac.id/,024-831-6105,ikipvet@yahoo.com
LLDIKTI Wilayah VI,PTS,065004  ,Politeknik Muhammadiyah Magelang,Politeknik,Prop. Jawa Tengah             ,"JL. TENTARA PELAJAR NO. 12 A, MUNTILAN
KAB. MAGELANG, JAWA TENGAH",Kec. Muntilan                 ,Kab. Magelang                 ,pmm.ac.id,(0293)587151,politeknikmuhammadiyahmagelang@yahoo.co.id
LLDIKTI Wilayah VI,PTS,065017  ,Politeknik Manufaktur Ceper,Politeknik,Prop. Jawa Tengah             ,Batur Tegalrejo Ceper ,Kec. Ceper                    ,Kab. Klaten                   ,www.polmanceper.ac.id,(0272) 552968,polmanceper@gmail.com
LLDIKTI Wilayah VI,PTS,065014  ,Politeknik Pusmanu,Politeknik,Prop. Jawa Tengah             ,Jl Jenderal Soedirman 120 ,Kec. Kedungwuni               ,Kab. Pekalongan               , http://www.politeknikpusmanu.ac.id/,081575889333,pusmanupoliteknik@gmail.com
LLDIKTI Wilayah VI,PTS,065026  ,Politeknik Baja Tegal,Politeknik,Prop. Jawa Tengah             ,"Jl. Jend. A. Yani No. 54 Procot, Slawi, Kab. Tegal",Kec. Slawi                    ,Kab. Tegal                    ,poltekbajategal.ac.id,(0283) 6196309,poltekbaja@gmail.com
LLDIKTI Wilayah VI,PTS,065028  ,Politeknik Santo Paulus Surakarta,Politeknik,Prop. Jawa Tengah             ,Jl. dr. Rajiman 656 R Surakarta,Kec. Laweyan                  ,Kota Surakarta                ,http:\\politekniksantopaulussurakarta.ac.id,02717654330,admin@politekniksantopaulussurakarta.ac.id
LLDIKTI Wilayah VI,PTS,065025  ,Politeknik Trisila Dharma,Politeknik,Prop. Jawa Tengah             ,Jl. Yos Sudarso No. 33 Nirmala Square Blok H.4-5 Kota Tegal,Kec. Tegal Timur              ,Kota Tegal                    ,www.politrisdha.ac.id,0283-4531418,poltrisidha_admisi@yahoo.com
LLDIKTI Wilayah VI,PTS,065030  ,Politeknik Balekambang Jepara,Politeknik,Prop. Jawa Tengah             ,,Kec. Nalumsari                ,Kab. Jepara                   ,,,politbangjepara@gmail.com
LLDIKTI Wilayah VI,PTS,065027  ,Politeknik Mitra Karya Mandiri,Politeknik,Prop. Jawa Tengah             ,Jl.Jenderal Sudirman No. 441,Kec. Ketanggungan             ,Kab. Brebes                   , www.poltekmkm-bbs.ac.id,0283-4582001,politeknik.mitrakaryamandiri@gmail.com
LLDIKTI Wilayah VI,PTS,065024  ,Politeknik ATMI,Politeknik,Prop. Jawa Tengah             ,"Jl. Mojo No 1 Karangasem RT.005 RW.007 Kel. Karangasem, Kec. Laweyan, Surakarta ",Kec. Laweyan                  ,Kota Surakarta                ,http://www.atmi.ac.id,0271-714466,politeknik@atmi.ac.id
LLDIKTI Wilayah VI,PTS,065018  ,Politeknik Stibisnis,Politeknik,Prop. Jawa Tengah             ,Jalan Majapahit No. 25 Semarang,,Kota Tegal,www.politeknikstibisnis.ac.id,024-8456636,pol.stibisnis@gmail.com
LLDIKTI Wilayah VI,PTS,065029  ,Politeknik Bina Trada Semarang,Politeknik,Prop. Jawa Tengah             ,,,Kota Semarang                 ,polbitrada.ac.id,024.6725022,poltekbinatrada@gmail.com
LLDIKTI Wilayah VI,PTS,065012  ,Politeknik Harapan Bersama,Politeknik,Prop. Jawa Tengah             ,Jalan Dewi Sartika No 71 Pesurungan Kidul,,Kota Tegal                    ,www.poltektegal.ac.id,0283-352000,sekretariat@poltektegal.ac.id
LLDIKTI Wilayah VI,PTS,065022  ,Politeknik Muhammadiyah Tegal,Politeknik,Prop. Jawa Tengah             ,"Jl. WAHID HASYIM No.1, KOTA TEGAL, JAWA TENGAH",,Kota Tegal                    ,www.polmuh.ac.id,0283351081,admisi@polmuh.ac.id
LLDIKTI Wilayah VI,PTS,065023  ,Politeknik Kesehatan BHakti Mulia,Politeknik,Prop. Jawa Tengah             , JL. RAYA SOLO - SUKOHARJO KM.09 SUKOHARJO,,Kab. Sukoharjo                ,www.poltekkesbhaktimulia.ac.id,0271592577,poltekkesbmskh@gmail.com
LLDIKTI Wilayah VI,PTS,065031  ,Politeknik Katolik Mangunwijaya,Politeknik,Prop. Jawa Tengah             ,Jl. Sriwijaya No. 104 ,,Kota Semarang                 ,,,
LLDIKTI Wilayah VI,PTS,065013  ,Politeknik Indonusa Surakarta,Politeknik,Prop. Jawa Tengah             ,Jalan KH Samanhudi No 31 Surakarta,,Kota Surakarta                ,poltekindonusa.ac.id,0271-743479,polinus@poltekindonusa.ac.id
LLDIKTI Wilayah VI,PTS,065019  ,Politeknik Muhammadiyah Pekalongan,Politeknik,Prop. Jawa Tengah             ,Jalan Pahlawan No 10 Kajen,,Kab. Pekalongan               ,politeknikmuhpkl.ac.id,0285 385313,admin@politeknikmuhpkl.ac.id
LLDIKTI Wilayah VI,PTS,065015  ,Politeknik Purbaya,Politeknik,Prop. Jawa Tengah             ,Jalan Pancakarya No 1 Kajen Talang,,Kab. Tegal                    ,www.purbaya.ac.id,02833447340,info@purbaya.ac.id
LLDIKTI Wilayah VI,PTS,065002  ,Politeknik Pratama Mulia,Politeknik,Prop. Jawa Tengah             ,Jalan Haryo Panular No 18 A ,,Kota Surakarta                ,www.politama.ac.id,0271712637,poltek@politama.ac.id
LLDIKTI Wilayah VI,PTS,065016  ,Politeknik Unggulan Sragen,Politeknik,Prop. Jawa Tengah             ,"Jalan Brotoseno, Kroyo Karangmalang",,Kab. Sragen                   ,www.polansra.ac.id,0271-893358,polansra@yahoo.co.id
LLDIKTI Wilayah VI,PTS,065008  ,Politeknik Sawunggalih Aji,Politeknik,Prop. Jawa Tengah             ,Jalan Wismoaji No 8 ,,Kab. Purworejo                ,www.polsa.ac.id,"0275-642466,3140444",info@polsa.ac.id
LLDIKTI Wilayah VI,PTS,065010  ,Politeknik Dharma Patria,Politeknik,Prop. Jawa Tengah             ,Jalan Letjend Suprapto No. 73 Kebumen,,Kab. Kebumen                  ,politeknik-kebumen.ac.id,0287383800,politeknik.online@yahoo.com
LLDIKTI Wilayah VI,PTS,065021  ,Politeknik Banjarnegara,Politeknik,Prop. Jawa Tengah             ,Jl Raya Madukara Km 02 Kenteng Banjarnegara ,,Kab. Banjarnegara             ,www.polibara.ac.id,0286-591145,humas@polibara.ac.id
LLDIKTI Wilayah VI,PTS,065007  ,Politeknik Ma arif,Politeknik,Prop. Jawa Tengah             ,Jalan Sultan Agung Karang Klesem,,Kab. Banyumas                 , http://poltek-maarif.ac.id/,0281-622687,poltek-ma arif@plasa.com
LLDIKTI Wilayah VI,PTS,065006  ,Politeknik Pratama,Politeknik,Prop. Jawa Tengah             ,"Jl. Perintis Kemerdekaan No. 187, Karangpucung, Purwokerto",,Kab. Banyumas                 ,www.poltama.ac.id,0281 6575222,politeknik_pratama@yahoo.com
LLDIKTI Wilayah VI,PTS,063099  ,Sekolah Tinggi Ilmu Kesehatan Nasional,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl Yos Sudarso 338 Surakarta dan Jl Solo Baki Kwarasan Sukoharjo,Kec. Serengan                 ,Kota Surakarta                ,https://stikesnas.ac.id/,0271-644958,stikesnas@stikesnas.ac.id
LLDIKTI Wilayah VI,PTS,063104  ,STIKES Mamba ul Ulum Surakarta,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jl. Ring Road Utara Tawangsari, Mojosongo, Jebres",Kec. Jebres                   ,Kota Surakarta                ,www.stikesmus.ac.id,0271858172,info@stikesmus.ac.id
LLDIKTI Wilayah VI,PTS,063038  ,Sekolah Tinggi Ilmu Perikanan Kalinyamat,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan HMS No 1 Kriyan Kalinyamat,Kec. Kalinyamatan             ,Kab. Jepara                   ,-,0291-755-324,
LLDIKTI Wilayah VI,PTS,063079  ,STIKES Telogorejo Semarang,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl Arteri Yos Sudarso / JL. Puri Anjasmoro ,Kec. Semarang Barat           ,Kota Semarang                 ,www.stikestelogorejo.ac.id,"024-76632823,24,25",humas@stikestelogorejo.ac.id
LLDIKTI Wilayah VI,PTS,063062  ,STIE Muhammadiyah Pekalongan,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl KH Mohamad Mansyur No 2 ,Kec. Pekalongan Barat         ,Kota Pekalongan               ,www.stiemuhpekalongan.ac.id,"0285-434444,431130",stiemuhpkl@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063001  ,Sekolah Tinggi Ilmu Komunikasi,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Pawiyatan Luhur II Bendan Duwur,Kec. Pedurungan               ,Kota Semarang                 , www.stikomsemarang.ac.id,024-6720571, stikom_semarang@yahoo.com
LLDIKTI Wilayah VI,PTS,063102  ,STIKES Ibnu Sina Ajibarang,Sekolah Tinggi,Prop. Jawa Tengah             ,,Kec. Ajibarang                ,Kab. Banyumas                 ,www.stikes-ibnusina.ac.id ,0281572043,stikesibnusina_ajibarang@yahoo.com
LLDIKTI Wilayah VI,PTS,063095  ,STKIP Darussalam Cilacap,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl. Raya Karangpucung Majenang Km 2 No. 8 Karangpucung Kabupaten Cilacap,Kec. Karangpucung             ,Kab. Cilacap                  ,----,0280-7102511,stkipdarussalam@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063105  ,STKIP Muhammadiyah Blora,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Blora Cepu km 4.,Kec. Cepu                     ,Kab. Blora                    ,,,
LLDIKTI Wilayah VI,PTS,063071  ,STIKES Bhakti Mandala Husada Slawi,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jl Cut Nyak Dhien 16 Kalisapu, Kabupaten Tegal, Jawa Tengah",Kec. Slawi                    ,Kab. Tegal                    ,http://stikesbhamada.ac.id,(0283)6197570,stikes_bhamada@yahoo.com
LLDIKTI Wilayah VI,PTS,063091  ,Sekolah Tinggi Ilmu Ekonomi Selamat Sri Kendal,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl. Soekarno-Hatta Km. 03 Kendal Kendal - Jawa Tengah,Kec. Patebon                  ,Kab. Kendal                   ,stiesskendal.ac.id,(0294) 3689259,stiess_kendal@yahoo.com
LLDIKTI Wilayah VI,PTS,063021  ,STMIK Bina Patria,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Raden Saleh No 02 ,Kec. Magelang Utara           ,Kota Magelang                 ,www.stmikbinapatria.ac.id,0293362993,bipa@stmikbinapatria.ac.id
LLDIKTI Wilayah VI,PTS,063076  ,STIKES An-Nur Purwodadi,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Gajah Mada No 07 ,Kec. Purwodadi                ,Kab. Grobogan                 , http://annurpurwodadi.ac.id,0292426455, stikesannur_purwodadi@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063109  ,Sekolah Tinggi Teknik Pati,Sekolah Tinggi,Prop. Jawa Tengah             ,,Kec. Pati                     ,Kab. Pati                     ,,,
LLDIKTI Wilayah VI,PTS,063093  ,Sekolah Tinggi Ilmu Ekonomi AAS,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jl. Slamet Riyadi 361 Windan, Makamhaji, Kartasura,Sukoharjo,Jawa Tengah",Kec. Kartasura                ,Kab. Sukoharjo                ,http://www.stie-aas.ac.id,(0271)726156,stie.aas8@gmail.com
LLDIKTI Wilayah VI,PTS,063016  ,Sekolah Tinggi Ilmu Ekonomi Trianandra,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Kranggan Wirogunan ,Kec. Kartasura                ,Kab. Sukoharjo                ,stietrianadra.ac.id,0271 782004,stie_trianandra_kts@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063073  ,Sekolah Tinggi Ilmu Komputer Yos Sudarso,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan SMP 5 Karangklesem Purwokerto,Kec. Purwokerto Selatan       ,Kab. Banyumas                 ,stikomyos.ac.id,(0281) 6845088,carolina19810402@yahoo.com
LLDIKTI Wilayah VI,PTS,063098  ,STIKES Estu Utomo,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Tentara Pelajar Mudal ,Kec. Boyolali                 ,Kab. Boyolali                 ,www.stikeseub.ac.id,0276322580,eub@stikeseub.ac.id
LLDIKTI Wilayah VI,PTS,063065  ,STMIK Amikom Purwokerto,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl. Letjen Pol Sumarto Watumas Purwanegara Purwokerto,Kec. Purwokerto Utara         ,Kab. Banyumas                 ,www.amikompurwokerto.ac.id,(0281)623321,amikom@amikompurwokerto.ac.id
LLDIKTI Wilayah VI,PTS,063051  ,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Gombong,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Yos Sudarso 461 ,Kec. Gombong                  ,Kab. Kebumen                  ,stikesmuhgombong.ac.id,0287-472433,stikesmuhgombong@yahoo.com
LLDIKTI Wilayah VI,PTS,063087  ,STIKES  Al Irsyad Al Islamiyyah Cilacap,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jl. Cerme No. 24, Sidanegara
Cilacap",,Kab. Cilacap                  ,www.stikesalirsyadclp.ac.id,0282532975,stikes_alirsyad@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063103  ,STT Minyak dan Gas Cilacap,Sekolah Tinggi,Prop. Jawa Tengah             ,,,Kab. Cilacap                  ,,,
LLDIKTI Wilayah VI,PTS,063094  ,STIKES Paguwarmas Maos,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl. Raya Maos No. 505 Kecamatan Maos,,Kab. Cilacap                  ,www.stikes-paguwarmas.ac.id,0282-695188,stikes_paguwarmas@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063044  ,Sekolah Tinggi Teknik Wiworotomo,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Semingkir No 1 Purwokerto ,,Kab. Banyumas                 ,www.stt-wiworotomo.ac.id,(0281) 626266,akademik@stt-wiworotomo.ac.id
LLDIKTI Wilayah VI,PTS,063069  ,Sekolah Tinggi Kesehatan Bina Cipta Husada,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Pahlawan V no.6 Tanjung Purwokerto,,Kab. Banyumas                 ,www.stikesbinaciptahusada.ac.id,08112607131,stikes.bch@gmail.com
LLDIKTI Wilayah VI,PTS,063067  ,STIMIK Tunas Bangsa Banjarnegara,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Kali Semi No 9-11 Parakancanggah,,Kab. Banjarnegara             , stb.ac.id,(0286)5985903,info@stb.ac.id
LLDIKTI Wilayah VI,PTS,063020  ,STMIK Widya Utama,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl. Soewatio No. 9A Purwokerto,,Kab. Banyumas                 ,swu.ac.id,0281-6512290,info.kampus@swu.ac.id
LLDIKTI Wilayah VI,PTS,063056  ,Sekolah Tinggi Ilmu Ekonomi Tamansiswa,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Mayjen Panjaitan No 29 Banjarnegara,,Kab. Banjarnegara             ,http://stietsbanjarnegara.ac.id,0286-595043,stie.tamansiswa.bna@gmail.com
LLDIKTI Wilayah VI,PTS,063046  ,Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa Purwokerto,Sekolah Tinggi,Prop. Jawa Tengah             ,JalanRaden Patah No. 100 Kel. Ledug Kec. Kembaran Purwokerto kab. Banyumas,,Kab. Banyumas                 ,www.shb.ac.id,0281-6843493,info@shb.ac.id
LLDIKTI Wilayah VI,PTS,063005  ,Sekolah Tinggi Ilmu Ekonomi Satria,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl Brigjen HM Bachroen No 45 Berkoh,,Kab. Banyumas                 ,www.stiesatria.blogspot.com ,0281632938,stiesatria@gmail.com 
LLDIKTI Wilayah VI,PTS,063039  ,Sekolah Tinggi Ilmu Ekonomi Rajawali,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Gajah Mada Km 7 Bayan ,,Kab. Purworejo                ,www.stierajawali.ac.id,0275-235469,stie.rajawali@gmail.com
LLDIKTI Wilayah VI,PTS,063037  ,Sekolah Tinggi Ilmu Ekonomi Putra Bangsa,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Ronggowarsito No 18 Pejagoan,,Kab. Kebumen                  ,www.stieputrabangsa.com,0287-384011,stiepb@stieputrabangsa.ac.id
LLDIKTI Wilayah VI,PTS,063048  ,Sekolah Tinggi Teknologi Muhammadiyah Kebumen,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl. Pahlawan 188 Mertokondo,,Kab. Kebumen                  ,www.sttm.ac.id,0287-6601039,adminsttm@gmail.com
LLDIKTI Wilayah VI,PTS,063070  ,Sekolah Tinggi Ilmu Kesehatan Duta Gama Klaten,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jl. Solo - Jogja KM.5 Ngaran, Mlese, Ceper, Klaten",,Kab. Klaten                   ,www.stikesdutagama.ac.id,0272-332362,dutagama_klaten@yahoo.com
LLDIKTI Wilayah VI,PTS,063072  ,STIKES Muhammadiyah Klaten,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl Jombor Indah Km 1 Klaten ,,Kab. Klaten                   ,stikesmukla.ac.id,0272-323120,stikesmukla@yahoo.com
LLDIKTI Wilayah VI,PTS,063045  ,Sekolah Tinggi Ilmu Administrasi Madani,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jl. Pilangsari, Gondang, Kebonarum, Klaten",,Kab. Klaten                   ,www.stiamadaniklaten.ac.id,0272-3352522,stiamadani@yahoo.com
LLDIKTI Wilayah VI,PTS,063096  ,STIKES Mitra Husada Karanganyar,Sekolah Tinggi,Prop. Jawa Tengah             ,Papahan Tasikmadu Karanganyar,,Kab. Karanganyar              ,http://stikesmhk.ac.id/,0271494581,stikes.mitrahusada@gmail.com
LLDIKTI Wilayah VI,PTS,063042  ,STMIK AUB Surakarta,Sekolah Tinggi,Prop. Jawa Tengah             ,"Jalan MW Maramis 29 Cengklik, Nusukan",,Kota Surakarta                ,www.stmik-aub.ac.id,0271-857788,sekretariat@stmik-aub.ac.id
LLDIKTI Wilayah VI,PTS,063110  ,Sekolah Tinggi Manajemen Informatika dan Komputer Cipta Darma Surakarta,Sekolah Tinggi,Prop. Jawa Tengah             ,,,Kota Surakarta                ,,,
LLDIKTI Wilayah VI,PTS,063040  ,STMIK Sinar Nusantara,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan KH Samanhudi No 84-86 ,,Kota Surakarta                ,www.sinus.ac.id,0271 - 716500,sekretariat@sinus.ac.id
LLDIKTI Wilayah VI,PTS,063014  ,Sekolah Tinggi Ilmu Ekonomi Widya Manggalia,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl Jenderal Sudirman 165-167 ,,Kab. Brebes                   , http://www.stiewidyamanggalia.ac.id,0283-6176255, stie.widyamanggalia@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063075  ,Sekolah Tinggi Pariwisata Sahid Surakarta,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Adi Sucipto 154 Jajar,,Kota Surakarta                ,www.stpss.ac.id,0271742069,baaksahid@gmail.com
LLDIKTI Wilayah VI,PTS,063004  ,Sekolah Tinggi Ilmu Ekonomi Surakarta,Sekolah Tinggi,Prop. Jawa Tengah             ,Jl Slamet Riyadi 435-437 Makamhaji,,Kota Surakarta                , stiesurakarta.ac.id,0271 717785,sties1@yahoo.co.id
LLDIKTI Wilayah VI,PTS,063027  ,Sekolah Tinggi Ilmu Ekonomi Wijaya Mulya,Sekolah Tinggi,Prop. Jawa Tengah             ,Jalan Kutai Raya Sumber Jetis Surakarta ,,Kota Surakarta                ,www.stiewijayamulya.ac.id,0271-716277,admin@stiewijayamulya.ac.id
LLDIKTI Wilayah VI,PTS,063101  ,STMIK Muhammadiyah Paguyangan Brebes,Sekolah Tinggi,Prop. Jawa Tengah             ,,,Kab. Brebes                   ,stmikmpb@ac.id,02894403691,infostmikmpb@ac.id
